,address,metro,mt_dist,parking,rooms,floor_bld,floor,square,price_p_m,price,lat,lng
11036,"Москва, 1-й Красногвардейский проезд, 15, Пресненский, Москва",Деловой центр,154.0,True,2.0,75.0,58.0,65.0,3615.0,235000.0,55.75042639999999,37.5391235
11037,"Москва, проспект Вернадского, 105к4, Тропарёво-Никулино, Москва",Юго-Западная,251.0,True,2.0,33.0,10.0,70.0,1429.0,100000.0,55.66361939999999,37.4865724
11038,"Москва, Весковский тупик, 3, Тверской, Москва",Менделеевская,181.0,True,4.0,13.0,12.0,190.0,2895.0,550000.0,55.7808094,37.5968493
11039,"Москва, улица Малая Молчановка, 8с2, Арбат, Москва",Арбатская,773.0,False,4.0,7.0,4.0,172.0,1744.0,300000.0,55.754118,37.592009
11040,"Москва, улица Малая Полянка, 2, Якиманка, Москва",Полянка,89.0,True,3.0,10.0,5.0,126.0,2143.0,270000.0,55.73600099999999,37.61618199999999
11041,"Москва, улица Рудневой, 11, Бабушкинский, Москва",Бабушкинская,911.0,False,2.0,5.0,2.0,44.0,909.0,39999.0,55.8654937,37.6766769
11042,"Московская область, Одинцовский городской округ, деревня Раздоры, улица Липовой Рощи, 2к2, Москва",Строгино,1800.0,False,1.0,35.0,13.0,34.7,980.0,34000.0,55.7977857,37.3765759
11043,"Москва, Западный административный округ, район Филёвский Парк, жилой комплекс Матч Поинт, Филёвский Парк, Москва",Багратионовская,890.0,True,1.0,28.0,9.0,32.0,2344.0,75000.0,55.7377631,37.5059449
11044,"Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 8к1, Москва",Улица Скобелевская,3500.0,False,2.0,17.0,14.0,60.0,583.0,35000.0,55.5246209,37.5910574
11045,"Москва, Инженерная улица, 2, Алтуфьевский, Москва",Бибирево,1200.0,True,3.0,5.0,3.0,57.0,754.0,43000.0,55.88030910000001,37.5852763
11046,"Москва, Венёвская улица, 19, Южное Бутово, Москва",Бульвар Адмирала Ушакова,496.0,False,1.0,17.0,2.0,38.2,733.0,28000.0,55.5438097,37.5498902
11047,"Москва, Свободный проспект, 14, Новогиреево, Москва",Новогиреево,220.0,False,1.0,22.0,22.0,40.0,700.0,28000.0,55.7535552,37.8161772
11048,"Москва, улица Сущёвский Вал, 23, подъезд 4, Марьина Роща, Москва",Савеловская,829.0,True,1.0,9.0,6.0,38.0,921.0,35000.0,55.793049,37.601301
11049,"Москва, улица Фомичёвой, 14к1, Северное Тушино, Москва",Планерная,496.0,False,3.0,9.0,8.0,54.0,907.0,49000.0,55.8571967,37.44156530000001
11050,"Москва, Харьковский проезд, 5к1, Бирюлёво Западное, Москва",Улица Академика Янгеля,2700.0,False,2.0,12.0,1.0,52.0,769.0,40000.0,55.5938573,37.6422911
11051,"Москва, Можайское шоссе, 33, Можайский, Москва",Кунцевская,2200.0,False,2.0,16.0,14.0,56.0,893.0,50000.0,55.7178836,37.4181235
11052,"Москва, Амурская улица, 1Ак3, Гольяново, Москва",Локомотив,1000.0,False,1.0,33.0,10.0,21.0,1667.0,35000.0,55.8109671,37.77217230000001
11053,"Москва, улица Новый Арбат, 30/9, Арбат, Москва",Смоленская,427.0,True,3.0,8.0,4.0,85.0,1706.0,145000.0,55.752907,37.5822546
11054,"Москва, Волоколамское шоссе, 60к2, Покровское-Стрешнево, Москва",Щукинская,1000.0,True,3.0,17.0,9.0,102.7,1217.0,125000.0,55.8203691,37.4465653
11055,"Москва, Большая Грузинская улица, 62, Пресненский, Москва",Белорусская,590.0,True,2.0,8.0,4.0,62.0,2903.0,180000.0,55.772671,37.5857389
11056,"Московская область, Одинцовский городской округ, село Ромашково, Никольская улица, 4к1, Москва",Молодежная,4800.0,False,2.0,5.0,2.0,45.0,956.0,43000.0,55.72824749999999,37.3435351
11057,"Москва, Лодочная улица, 31с5, Южное Тушино, Москва",Водный стадион,1600.0,False,3.0,9.0,3.0,55.5,811.0,45000.0,55.8395749,37.4645186
11058,"Москва, Беловежская улица, 19, Можайский, Москва",Молодежная,3300.0,False,2.0,16.0,2.0,42.0,1071.0,45000.0,55.713755,37.3945161
11059,"Москва, Осенняя улица, 26, Крылатское, Москва",Крылатское,1200.0,False,2.0,17.0,7.0,54.0,1204.0,65000.0,55.7675083,37.4089175
11060,"Москва, улица Маршала Бирюзова, 32к1, Щукино, Москва",Октябрьское поле,822.0,True,4.0,23.0,14.0,165.0,1212.0,200000.0,55.79976199999999,37.483005
11061,"Москва, Дербеневская набережная, 13/17к1, Даниловский, Москва",Автозаводская,1400.0,True,2.0,8.0,7.0,52.0,865.0,45000.0,55.718598,37.647881
11062,"Москва, Старобитцевская улица, 21к1, Северное Бутово, Москва",Лесопарковая,539.0,True,3.0,14.0,3.0,78.0,705.0,55000.0,55.5769363,37.5765424
11063,"Москва, Смольная улица, 44к2, Левобережный, Москва",Ховрино,1100.0,False,1.0,17.0,5.0,30.0,1667.0,50000.0,55.86933639999999,37.47377940000001
11064,"Москва, улица Генерала Ермолова, 10/6, Дорогомилово, Москва",Парк Победы,347.0,False,1.0,9.0,4.0,40.0,1250.0,50000.0,55.73922899999999,37.515482
11065,"Москва, Болотниковская улица, 40к4, Зюзино, Москва",Нахимовский проспект,988.0,True,3.0,12.0,10.0,65.0,846154.0,55000000.0,55.6615295,37.5877307
11066,"Москва, 1-й Спасоналивковский переулок, 19, подъезд 6, Якиманка, Москва",Октябрьская,155.0,True,3.0,6.0,5.0,90.1,1415.0,127500.0,55.7332054,37.6142181
11067,"Москва, улица Поляны, 5Ак4, Южное Бутово, Москва",Улица Скобелевская,803.0,False,2.0,33.0,16.0,82.0,610.0,50000.0,55.5572631,37.5547101
11068,"Москва, улица Конёнкова, 23, Бибирево, Москва",Бибирево,1300.0,False,1.0,12.0,3.0,39.0,795.0,31000.0,55.8947581,37.610765
11069,"Москва, Минская улица, 1Гк2, Раменки, Москва",Ломоносовский проспект,1200.0,True,3.0,20.0,11.0,126.1,1471.0,185500.0,55.7131504,37.5011405
11070,"Москва, Ленинский проспект, 137к1, Тёплый Стан, Москва",Тропарево,442.0,True,3.0,25.0,11.0,112.4,1335.0,150000.0,55.6416469,37.4727457
11071,"Москва, 2-й Карачаровский проезд, 2, Нижегородский, Москва",Нижегородская,1700.0,False,2.0,8.0,6.0,55.0,964.0,53000.0,55.7291778,37.7539024
11072,"Москва, Щёлковское шоссе, 97, Гольяново, Москва",Щелковская,2300.0,False,2.0,22.0,9.0,57.9,864.0,50000.0,55.81471,37.8342771
11073,"Москва, улица Арбат, 51с1, Арбат, Москва",Смоленская,346.0,True,2.0,8.0,6.0,63.0,1349.0,85000.0,55.7477574,37.58646969999999
11074,"Москва, Ферганский проезд, 15/189, Выхино-Жулебино, Москва",Лермонтовский проспект,2300.0,False,1.0,16.0,13.0,38.0,921.0,35000.0,55.69358519999999,37.8181862
11075,"Москва, Новоясеневский проспект, 16к1, подъезд 9, Ясенево, Москва",Ясенево,838.0,True,2.0,16.0,4.0,53.5,907.0,48500.0,55.60819799999999,37.5225319
11076,"Москва, Трубецкая улица, 12, Хамовники, Москва",Фрунзенская,378.0,True,1.0,12.0,11.0,70.0,3571.0,250000.0,55.72645139999999,37.5753642
11077,"Москва, Щёлковское шоссе, 61, Гольяново, Москва",Щелковская,324.0,False,2.0,22.0,3.0,59.0,847.0,50000.0,55.8104302,37.7930429
11078,"Москва, Стрельбищенский переулок, 10, Пресненский, Москва",Шелепиха,863.0,False,2.0,5.0,4.0,43.0,930.0,40000.0,55.758664,37.539361
11079,"Москва, Краснопролетарская улица, 7, Тверской, Москва",Новослободская,628.0,True,4.0,19.0,5.0,156.0,1923.0,300000.0,55.7749022,37.6069668
11080,"Москва, Анадырский проезд, 47к1, Лосиноостровский, Москва",Бабушкинская,2200.0,False,3.0,9.0,3.0,58.0,862.0,50000.0,55.8755579,37.700903
11081,"Москва, Святоозёрская улица, 14, Косино-Ухтомский, Москва",Лермонтовский проспект,2600.0,False,1.0,17.0,9.0,40.0,750.0,30000.0,55.713345,37.8870855
11082,"Москва, Большая Спасская улица, 10к1, Красносельский, Москва",Комсомольская,535.0,False,1.0,16.0,6.0,38.0,1184.0,45000.0,55.7759896,37.6459609
11083,"Москва, Большой Головин переулок, 2, Мещанский, Москва",Трубная,286.0,True,4.0,5.0,4.0,170.0,5882.0,1000000.0,55.7694352,37.6289314
11084,"Москва, Шведский тупик, 3, Пресненский, Москва",Тверская,436.0,True,5.0,12.0,2.0,247.0,1822.0,450000.0,55.76075179999999,37.6037876
11085,"Москва, Хорошёвское шоссе, 92, Хорошёвский, Москва",Полежаевская,235.0,False,3.0,8.0,6.0,78.0,1090.0,85000.0,55.7787428,37.5142698
11086,"Москва, Туристская улица, 10, Северное Тушино, Москва",Сходненская,889.0,False,3.0,9.0,4.0,58.0,810.0,47000.0,55.851764,37.426189
11087,"Москва, улица Поляны, 7, Южное Бутово, Москва",Улица Скобелевская,515.0,False,2.0,23.0,2.0,58.0,741.0,43000.0,55.55236439999999,37.55232300000001
11088,"Москва, Алтуфьевское шоссе, 82, Бибирево, Москва",Алтуфьево,420.0,False,1.0,22.0,7.0,37.0,946.0,35000.0,55.89501500000001,37.5888319
11089,"Москва, 1-я Дубровская улица, 1к1, Таганский, Москва",Пролетарская,172.0,True,3.0,17.0,6.0,73.1,1163.0,85000.0,55.7299607,37.6683517
11090,"Москва, Головинское шоссе, 10Б, подъезд 2, Войковский, Москва",Водный стадион,740.0,True,1.0,36.0,3.0,46.0,1848.0,85000.0,55.8362847,37.4964765
